"PyDev - Editor","Add Comment Block","Ctrl+4","PyDev editor scope"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"C/C++ Source","Toggle Source/Header","Ctrl+H","C/C++ Editor"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Scala Editor","Open Implicit","Alt+F3","Editing Scala Source"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Terminal Widget","Terminal view insert","Alt+G","Terminal Widget"
"PyDev - Editor","Python Uncomment","Ctrl+\","PyDev editor scope"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"PyDev - Editor","Python Collapse All","Ctrl+9","PyDev editor scope"
"File","New","Ctrl+N","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","Editing D Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"PyDev - Editor","Python Show Global Tokens (Global)","Shift+Ctrl+T","PyDev view"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"PyDev - Editor","Add Single Comment Block","Shift+Ctrl+4","PyDev editor scope"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Search","References in Workspace","Shift+Ctrl+G","Editing Script Source"
"Navigate","Next Page","Alt+F7","In Windows"
"PyDev - Editor","Next Method or Class","Shift+Ctrl+Down","PyDev editor scope"
"PyDev - Run","Relaunch last pydev launch","Shift+Ctrl+F9","PyDev editor scope"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Refactor - DLTK","Rename - Refactoring ","Shift+Alt+R","Editing Script Source"
"Run/Debug","Send Selection to Scala Interpreter","Shift+Ctrl+X","Editing Scala Source"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Navigate","Open Type Hierarchy","F4","Editing Script Source"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Refactor - DLTK","Show Refactor Quick Menu","Shift+Alt+T","DLTK View"
"Text Editing","Next Word","Ctrl+Right","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Terminal Widget","Terminal view insert","Alt+F","Terminal Widget"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","Debugging Script"
"Terminal Widget","Terminal view insert","Alt+R","Terminal Widget"
"Script Source","Add Javadoc Comment","Shift+Alt+J","Editing Script Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Terminal Widget","Terminal view insert","Alt+T","Terminal Widget"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"PyDev - Editor","Python Un Collapse","Ctrl+=","PyDev editor scope"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Script Source","Format","Shift+Ctrl+F","Editing Script Source"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Navigate","Previous Tab","Shift+Ctrl+Tab","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Terminal Widget","Terminal view insert","Alt+W","Terminal Widget"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"DDT Command Category","Open D Type","Shift+Ctrl+T","Editing D Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"File","Close All","Shift+Ctrl+W","In Windows"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Refactor - Scala","Organize Imports","Shift+Ctrl+O","Editing Scala Source"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"C/C++ Source","Find References","Shift+Ctrl+G","C/C++ Editor"
"C/C++ Source","Find Declaration","Ctrl+G","C/C++ Editor"
"Run/Debug","Display","Shift+Ctrl+D","Debugging Script"
"PyDev - Editor","Python Collapse","Ctrl+-","PyDev editor scope"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"pepticcategory","Extract Local Variable...","Shift+Alt+L","PyDev editor scope"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"DDT Command Category","Open Type in Hierarchy","Shift+Ctrl+H","Editing D Source"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Script Source","Toggle Comment","Ctrl+7","Editing Script Source"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Script Source","Toggle Comment","Ctrl+/","Editing Script Source"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"PyDev - Editor","Select Enclosing Scope","Shift+Alt+Up","PyDev editor scope"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Window","Activate Editor","F12","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"PyDev - Editor","Go to Matching Bracket","Shift+Ctrl+P","PyDev editor scope"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"PyDev - Editor","Deselect Enclosing Scope","Shift+Alt+Down","PyDev editor scope"
"Navigate","Backward History","Alt+Left","In Windows"
"Code Analysis","Run Code Analysis","Ctrl+Alt+A","In Windows"
"pepticcategory","Generate Constructor using Fields...","Shift+Alt+T C","PyDev editor scope"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"C/C++ Source","Find Declaration","Ctrl+G","In C/C++ Views"
"Terminal Widget","Terminal view insert","Alt+P","Terminal Widget"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Worksheet commands","Evaluate Script","Shift+Ctrl+B","Editing Scala Worksheet"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Run/Debug","Terminate and Relaunch","Ctrl+F2","Debugging"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Script Source","Toggle Comment","Shift+Ctrl+C","Editing Script Source"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Window","Show System Menu","Alt+-","In Windows"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Scala Editor","Debug Scala Application","Shift+Alt+D S","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Uncategorized","Find all references","Shift+Ctrl+G","PyDev editor scope"
"Window","Next Editor","Ctrl+F6","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"File","Save","Ctrl+S","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Script Source"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Terminal Widget","Terminal view insert","Alt+N","Terminal Widget"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"pepticcategory","Override/Implement Methods...","Shift+Alt+T O","PyDev editor scope"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Refactor - Scala","Inline Local","Shift+Alt+I","Editing Scala Source"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"PyDev - Editor","Offline Action for scripting","Ctrl+2","PyDev editor scope"
"Run/Debug","Step Over","F6","Debugging"
"PyDev - Editor","Python Show Outline","Ctrl+O","PyDev editor scope"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Edit","Delete","Delete","In Windows"
"Terminal Widget","Terminal view insert","Alt+E","Terminal Widget"
"Refactor - DLTK","Show Refactor Quick Menu","Shift+Alt+T","Editing Script Source"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"File","Print","Ctrl+P","In Windows"
"pepticcategory","Extract Local Variable...","Shift+Alt+T L","PyDev editor scope"
"Terminal Widget","Terminal view insert","Alt+S","Terminal Widget"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"PyDev - Editor","Python Format Code","Shift+Ctrl+F","PyDev editor scope"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"PyDev - Editor","Python Comment","Ctrl+3","PyDev editor scope"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"PyDev - Editor","Previous Method or Class","Shift+Ctrl+Up","PyDev editor scope"
"Refactor - Scala","Refactor Quick Menu","Shift+Alt+T","Editing Scala Source"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"PyDev - Editor","Remove Comment Block","Ctrl+5","PyDev editor scope"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"pepticcategory","Rename...","Shift+Alt+R","PyDev editor scope"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"File","Save All","Shift+Ctrl+S","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"DDT Command Category","Open Definition","F3","Editing D Source"
"PyDev - Run","Run custom tests","Ctrl+F9","PyDev editor scope"
"Scala Editor","Toggle Implicits Display","Shift+Ctrl+I","Editing Scala Source"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"File","Rename","F2","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Script Source"
"Script Source","Format","Esc Ctrl+F","Editing Script Source"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"pepticcategory","Extract Method...","Shift+Alt+T E","PyDev editor scope"
"Terminal","Copy","Shift+Ctrl+C","Terminal"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"PyDev - Editor","Python Organize Imports","Shift+Ctrl+O","PyDev editor scope"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Script Source"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Refactor - Scala","Rename","Shift+Alt+R","Editing Scala Source"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"PyDev - Editor","Python Uncomment","Shift+Ctrl+3","PyDev editor scope"
"Refactor - Scala","Extract Method","Shift+Alt+M","Editing Scala Source"
"PyDev - Run","Set Next Statement","Ctrl+Alt+R","In Windows"
"C/C++ Source","Find References","Shift+Ctrl+G","In C/C++ Views"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Run/Debug","Debug","F11","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"PyDev - Editor","Python Un Collapse All","Ctrl+0","PyDev editor scope"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"pepticcategory","Extract Method...","Shift+Alt+M","PyDev editor scope"
"Source","Format","Esc Ctrl+F","Editing Java Source"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Scala Editor","Run Scala Application","Shift+Alt+X S","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Script Source","Correct &Indentation","Ctrl+I","Editing Script Source"
"Terminal Widget","Terminal view insert","Alt+A","Terminal Widget"
"PyDev - Editor","Python Toggle Comment","Ctrl+/","PyDev editor scope"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"PyDev - Editor","Show Python Class Hierarchy","F4","PyDev editor scope"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Script Source"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Terminal","Paste","Shift+Ctrl+V","Terminal"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"PyDev - Editor","Interactive Console","Ctrl+Alt+Enter","PyDev editor scope"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Uncategorized","Display Command","Shift+Ctrl+D","PyDev editor scope"
"Text Editing","Previous Word","Ctrl+Left","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"pepticcategory","Inline Local Variable...","Shift+Alt+T I","PyDev editor scope"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Navigate","Next Tab","Ctrl+Tab","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Navigate","Open Declaration","F3","Editing Script Source"
"Terminal Widget","Terminal view insert","Alt+H","Terminal Widget"
"PyDev - Editor","Python Show Global Tokens (Editor)","Shift+Ctrl+T","PyDev editor scope"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Worksheet commands","Format","Shift+Ctrl+F","Editing Scala Worksheet"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Refactor - Scala","Extract Local","Shift+Alt+L","Editing Scala Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"PyDev - Editor","Python Go To Definition","F3","PyDev editor scope"
"Terminal Widget","Terminal view insert","Alt+V","Terminal Widget"
"File","Close","Ctrl+W","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Word Completion","Alt+/","Editing Text"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Run/Debug","Execute","Ctrl+U","In Windows"
"pepticcategory","Inline Local Variable...","Shift+Alt+I","PyDev editor scope"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Script Source"
"pepticcategory","Generate Properties...","Shift+Alt+T P","PyDev editor scope"
"Scala Editor","Show Type","Shift+Ctrl+W T","Editing Scala Source"
"File","Close","Ctrl+F4","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"PyDev - Run","Run editor with current interpreter","F9","PyDev editor scope"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Source","Toggle Comment","Esc Ctrl+C","Editing Properties Files"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"File","New menu","Shift+Alt+N","In Windows"
"PyDev - Run","Terminate all launches","Ctrl+Alt+F9","PyDev editor scope"
"Refactor - DLTK","Rename - Refactoring ","Shift+Alt+R","DLTK View"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Project","Make Target Build","Shift+F9","In Windows"
